Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL3120588,,0,650.71,2,4.49,2bAc,CC(=O)OC[C@H]1O[C@@H](n2c(-c3cccs3)cc(-c3ccc(C(C)C)cc3)c(C#N)c2=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,EC50,'=',40000.0,nM,4.4,,,UO_0000065,,,,,False,CHEMBL3122998,Antiviral activity against Influenza B virus by cytopathy assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,None,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL3120115,1,Scientific Literature,Eur. J. Med. Chem.,2014,None,
CHEMBL413377,,0,1579.64,None,None,6,CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCCCCCCNC(=O)c1cc(C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]2OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]2NC(C)=O)cc(C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]2OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]2NC(C)=O)c1)[C@H](O)CO,EC50,'=',0.00133,ug.mL-1,,,,UO_0000274,,,,,False,CHEMBL698608,Antiinfluenza activity of compound against Influenza B/Harbin/7/95 in influenza cytopathic effect (CPE) assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,None,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1147641,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2004,None,
CHEMBL4170117,,0,1053.13,3,7.73,19a,CCCCCCCCCC(=O)Oc1ccc(COP(=O)(OCc2ccc(OC(=O)CCCCCCCCC)cc2)OP(=O)(O)OC[C@H]2O[C@@H](n3ccnc(C(N)=O)c3=O)[C@H](O)[C@@H]2O)cc1.CCN(CC)CC,EC50,'=',550.0,nM,6.26,,,UO_0000065,,,,,False,CHEMBL4137194,Antiviral activity against Influenza virus B/Ned/537/05 infected in HGPRT deficient 6-thioguanine-resistant MDCK cells assessed as reduction in viral replication at 3 days post infection by microscopic analysis,F,BAO_0000218,organism-based format,influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL4130627,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL1643,RIBAVIRIN,4,244.21,0,-3.01,Ribavirin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,EC50,'=',9000.0,nM,5.05,,,UO_0000065,,,,,False,CHEMBL1115028,Antiviral activity against Influenza B virus infected in MDCK cells assessed as protection from virus-induced cytopathogenicity after 6 to 7 days by MTT assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1154855,1,Scientific Literature,Eur. J. Med. Chem.,2010,CHEMBL3308370,
CHEMBL1814563,,0,705.83,2,3.81,10,Nc1ncnc2c1ncn2CCOCP(=O)(OCCOCCCCCCCCC(O)CO)OCCOCCCCCCCCC(O)CO,EC50,'>',142000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL1816955,Antiviral activity against Influenza B virus infected in MDCK cells assessed as protection against virus-induced cytopathicity,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1811861,1,Scientific Literature,Bioorg. Med. Chem.,2011,CHEMBL3308370,
CHEMBL1814565,,0,565.56,2,0.70,12,CCOCCOCCOCCOCCOCCOCCOP(=O)(O)COCCn1cnc2c(N)ncnc21,EC50,'>',177000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL1816955,Antiviral activity against Influenza B virus infected in MDCK cells assessed as protection against virus-induced cytopathicity,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1811861,1,Scientific Literature,Bioorg. Med. Chem.,2011,CHEMBL3308370,
CHEMBL1814568,,0,385.27,1,0.64,15,Cc1oc(=O)oc1COP(=O)(O)COCCn1cnc2c(N)ncnc21,EC50,'>',259000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL1816955,Antiviral activity against Influenza B virus infected in MDCK cells assessed as protection against virus-induced cytopathicity,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1811861,1,Scientific Literature,Bioorg. Med. Chem.,2011,CHEMBL3308370,
CHEMBL469986,,0,478.37,0,2.99,20,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCC(N)=O)[nH]c3ccc(Br)cc23)c1,EC50,'>',4000.0,nM,,,,UO_0000065,,,,,False,CHEMBL954279,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by visual cytopathic effect scoring method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
CHEMBL1290120,,0,341.37,0,3.65,2g,O=c1c2ccccc2nc(-c2ccccc2)n1/N=C/c1ccc(O)cc1,EC50,,,,,,Not Active,,,,,,False,CHEMBL1291397,Antiviral activity against influenza B virus infected in MDCK cells assessed as protection against virus-induced cytopathogenicity at 100 ug/ml after 2 days,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1287642,1,Scientific Literature,Eur. J. Med. Chem.,2010,CHEMBL3308370,
CHEMBL373352,,0,942.94,3,-3.63,8,COC(=O)C1=C[C@H](N=C(N)N)C(NC(C)=O)[C@H]([C@H](OC(=O)NCc2ccc(-c3ccc(CNC(=O)O[C@H](C(O)CO)[C@@H]4OC(C(=O)O)=C[C@H](N=C(N)N)C4NC(C)=O)cc3)cc2)C(O)CO)O1,EC50,'=',0.00023,ug.mL-1,,,,UO_0000274,,,,,False,CHEMBL836458,Effective concentration required for reduction in plaque formation of influenza B/Hong Kong/5/72 virus strain by plaque reduction assays,F,BAO_0000218,organism-based format,Influenza B virus,None,None,None,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1143586,1,Scientific Literature,J. Med. Chem.,2005,None,
CHEMBL603354,,0,262.23,0,-1.45,6,N#C[C@H]1OC(n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,EC50,,,,,,Not Determined,,,,,,False,CHEMBL697879,Effective dose required to reduce virus induced cytopathogenicity by Influenza B(singapore) was determined; Not tested,F,BAO_0000218,organism-based format,Influenza B virus,None,None,None,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1128782,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1995,None,
CHEMBL2023604,,0,413.91,0,4.39,10l,CCOC(=O)c1c(C)nc(NCCCNc2ccnc3cc(Cl)ccc23)nc1C,EC50,'>',4000.0,nM,,,,UO_0000065,,,,,False,CHEMBL2026083,Antiviral activity against Influenza B virus infected in MDCK cells assessed as reduction visual scoring of virus-induced cytopathogenicity after 4 days,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL2021854,1,Scientific Literature,Eur. J. Med. Chem.,2012,CHEMBL3308370,
CHEMBL521183,,0,501.99,1,2.82,34,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NC(C)CS(N)(=O)=O)[nH]c3ccc(Cl)c(F)c23)c1,EC50,'>',4000.0,nM,,,,UO_0000065,,,,,False,CHEMBL954280,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by MTS method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
CHEMBL1290017,,0,368.44,0,4.01,3d,CN(C)c1ccc(/C=N/n2c(-c3ccccc3)nc3ccccc3c2=O)cc1,EC50,,,,,,Not Active,,,,,,False,CHEMBL1291402,Antiviral activity against influenza B virus infected in MDCK cells assessed as cell viability at 100 ug/ml after 2 days by MTS assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1287642,1,Scientific Literature,Eur. J. Med. Chem.,2010,CHEMBL3308370,
CHEMBL469358,,0,447.94,0,3.26,23,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NC(C)CC(N)=O)[nH]c3ccc(Cl)cc23)c1,EC50,'>',4000.0,nM,,,,UO_0000065,,,,,False,CHEMBL954279,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by visual cytopathic effect scoring method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
CHEMBL1095981,,0,1418.3,None,None,4b,COC(=O)[C@@H]1NC(=O)[C@H]2NC(=O)[C@H](NC(=O)[C@@H]3NC(=O)[C@H]4NC(=O)[C@H](NC(=O)[C@H](n5cc(CO[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)nn5)c5ccc(O)c(c5)Oc5cc4cc(O)c5C)[C@H](O)c4ccc(cc4)Oc4cc3cc(c4O)Oc3ccc(cc3)[C@H]2O)c2ccc(O)c(c2)-c2c(O)cc(O)cc21,EC50,'=',32000.0,nM,4.5,,,UO_0000065,,,,,False,CHEMBL1121248,Antiviral activity against influenza B virus assessed as inhibition of viral induced cytopathic effect,F,BAO_0000218,organism-based format,Influenza B virus,None,None,None,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1158551,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,
CHEMBL1089302,,0,241.25,0,-1.90,C-cytidine,Nc1ccn([C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,EC50,'=',1300.0,nM,5.89,,,UO_0000065,,,,,False,CHEMBL1105349,Antiviral activity against Influenza B virus Malaysia/2506/2004 infected MDCK cells after 42 to 46 hrs by neutral red dye uptake assay,F,BAO_0000218,organism-based format,Influenza B virus (B/Malaysia/2506/2004),None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1156973,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,CHEMBL3308370,
CHEMBL2059155,,0,341.17,0,-0.03,5,Nc1ncc(Br)c2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,EC50,'>',160.0,nM,,,,UO_0000065,,,,,False,CHEMBL2061806,Antiviral activity against Influenza B virus infected in MDCK cells assessed as reduction of viral replication,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL2057086,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012,CHEMBL3308370,
CHEMBL405409,,0,1561.62,None,None,9,CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCCCCCCNC(=O)CC(O)(CC(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)[C@H](O)CO,EC50,'=',0.002475,ug.mL-1,,,,UO_0000274,,,,,False,CHEMBL698608,Antiinfluenza activity of compound against Influenza B/Harbin/7/95 in influenza cytopathic effect (CPE) assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,None,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1147641,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2004,None,
CHEMBL502566,,0,528.45,1,2.79,32,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NC(C)CS(N)(=O)=O)[nH]c3ccc(Br)cc23)c1,EC50,'>',800000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL954280,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by MTS method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
CHEMBL383700,,0,419.93,0,3.91,7,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NNC(C)C)[nH]c3ccc(Cl)cc23)c1,EC50,'>',20000.0,nM,,,,UO_0000065,,,,,False,CHEMBL954279,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by visual cytopathic effect scoring method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
CHEMBL512673,,0,464.34,0,2.60,13,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCC(N)=O)[nH]c3ccc(Br)cc23)c1,EC50,'>',4000.0,nM,,,,UO_0000065,,,,,False,CHEMBL954280,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by MTS method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
CHEMBL959,RIMANTADINE,4,179.31,0,2.55,Rimantadine,CC(N)C12CC3CC(CC(C3)C1)C2,EC50,'>',200000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL2026086,Antiviral activity against Influenza B virus infected in MDCK cells assessed as inhibition of virus-induced cytopathogenicity after 4 days by colorimetric formazan-based MTS assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL2021854,1,Scientific Literature,Eur. J. Med. Chem.,2012,CHEMBL3308370,
CHEMBL1290120,,0,341.37,0,3.65,2g,O=c1c2ccccc2nc(-c2ccccc2)n1/N=C/c1ccc(O)cc1,EC50,,,,,,Not Active,,,,,,False,CHEMBL1291402,Antiviral activity against influenza B virus infected in MDCK cells assessed as cell viability at 100 ug/ml after 2 days by MTS assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1287642,1,Scientific Literature,Eur. J. Med. Chem.,2010,CHEMBL3308370,
CHEMBL4282087,,0,258.23,0,-2.60,20b,Cc1cn([C@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)c[n+]1[O-],EC50,'>',100000.0,nM,,,,UO_0000065,,,,,False,CHEMBL4253826,Antiviral activity against Influenza B virus B/Ned/537/05 infected in MDCK cells assessed as reduction in virus-induced cytopathic effect by MTS assay,F,BAO_0000218,organism-based format,influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL4251608,1,Scientific Literature,Eur J Med Chem,2018,None,
CHEMBL511963,,0,451.91,0,3.01,18,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NC(C)C(N)=O)[nH]c3ccc(Cl)c(F)c23)c1,EC50,'>',4000.0,nM,,,,UO_0000065,,,,,False,CHEMBL954280,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by MTS method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
CHEMBL524360,,0,480.52,0,1.54,29,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCS(N)(=O)=O)[nH]c3ccc([N+](=O)[O-])cc23)c1,EC50,'>',4000.0,nM,,,,UO_0000065,,,,,False,CHEMBL954280,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by MTS method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
CHEMBL127012,,0,433.92,0,2.87,4,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NC(C)C(N)=O)[nH]c3ccc(Cl)cc23)c1,EC50,'>',4000.0,nM,,,,UO_0000065,,,,,False,CHEMBL954280,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by MTS method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
CHEMBL513080,,0,451.91,0,3.02,22,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCC(N)=O)[nH]c3ccc(Cl)c(F)c23)c1,EC50,'>',20000.0,nM,,,,UO_0000065,,,,,False,CHEMBL954280,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by MTS method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
CHEMBL1289907,,0,355.4,0,3.95,2c,COc1ccc(/C=N/n2c(-c3ccccc3)nc3ccccc3c2=O)cc1,EC50,,,,,,Not Active,,,,,,False,CHEMBL1291397,Antiviral activity against influenza B virus infected in MDCK cells assessed as protection against virus-induced cytopathogenicity at 100 ug/ml after 2 days,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1287642,1,Scientific Literature,Eur. J. Med. Chem.,2010,CHEMBL3308370,
CHEMBL1289907,,0,355.4,0,3.95,2c,COc1ccc(/C=N/n2c(-c3ccccc3)nc3ccccc3c2=O)cc1,EC50,,,,,,Not Active,,,,,,False,CHEMBL1291402,Antiviral activity against influenza B virus infected in MDCK cells assessed as cell viability at 100 ug/ml after 2 days by MTS assay,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1287642,1,Scientific Literature,Eur. J. Med. Chem.,2010,CHEMBL3308370,
CHEMBL502565,,0,484.0,0,2.68,31,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NC(C)CS(N)(=O)=O)[nH]c3ccc(Cl)cc23)c1,EC50,'>',4000.0,nM,,,,UO_0000065,,,,,False,CHEMBL954280,Antiviral activity against influenza B virus in MDCK cells assessed as reduction of virus-induced cytopathicity by MTS method,F,BAO_0000218,organism-based format,Influenza B virus,None,None,MDCK,None,,,,CHEMBL613129,Influenza B virus,Influenza B virus,ORGANISM,CHEMBL1153955,1,Scientific Literature,J. Med. Chem.,2009,CHEMBL3308370,
