ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX ApKa,CX BpKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles
CHEMBL2354773,AUROTHIOGLUCOSE,AUREOTAN 100|AUROTHIOGLUCOSE|GOLD THIOGLUCOSE|Solganal,Small molecule,4,392.18,6.0,10.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,391.9993,None,C6H11AuO5S,
CHEMBL2218860,GADOBUTROL,BAY86-4875|GADAVIST|GADOBUTROL|ZK 135079|ZK-135079,Small molecule,4,604.72,3.0,17.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,605.1332,None,C18H31GdN4O9,
CHEMBL239129,MEGLUMINE ANTIMONATE,MEGLUMINE ANTIMONATE|Meglumine Antimonate|N-METHYLGLUCAMINE ANTIMONATE,Small molecule,3,365.98,33.0,209.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,365.0071,None,C7H18NO8Sb,
CHEMBL508338,THIMEROSAL,Ethylmercury sodium salt|Mercurothiolate|Merfamin|Merthiolate|Mertorgan|Merzonin|NSC-4794|Sodium ethylmercurithiosalicylate|THIMEROSAL|THIOMERSAL|Thiomersalate,Small molecule,4,404.82,206.0,894.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,405.9927,None,C9H9HgNaO2S,
CHEMBL2108535,POLYNOXYLIN,ANAFLEX|OXYMETHYLENE UREA|POLYNOXYLIN,Small molecule,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL1200346,GADODIAMIDE,GADODIAMIDE|GDDTPA-BMA|Omniscan|S-041,Small molecule,4,573.66,3.0,18.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,574.1022,None,C16H26GdN5O8,
CHEMBL666,FOSCARNET,Dihydroxyphosphinecarboxylic Acid Oxide|FOSCARNET|Foscarnet|J05AD01,Small molecule,4,126.0,149.0,805.0,-0.16,94.83,2,3,0,1,N,0.42,-0.10,None,-0.83,-7.58,0,MOL,0,7,5,3,0,125.9718,ACID,CH3O5P,O=C(O)P(=O)(O)O
CHEMBL1580,PENTOSTATIN,CI-825|NSC-218321|Nipent|PD 81565|PD-81565|PENTOSTATIN|YK-176,Small molecule,4,268.27,18.0,97.0,-1.18,112.13,8,4,0,2,N,0.54,13.06,8.33,-2.02,-2.93,1,MOL,0,19,8,4,0,268.1172,NEUTRAL,C11H16N4O4,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O
CHEMBL606,MISOPROSTOL,Cytotec|MISOPROSTOL|MYSODELLE|SC-29333|TOPOGYNE,Small molecule,4,382.54,24.0,109.0,3.95,83.83,5,2,0,13,N,0.29,None,None,3.86,3.86,0,MOL,0,27,5,2,0,382.2719,NEUTRAL,C22H38O5,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
CHEMBL2103839,RIDAFOROLIMUS,AP 23573|AP-23573|AP23573|DEFOROLIMUS|MK-8669|RIDAFOROLIMUS,Small molecule,3,990.22,291.0,295.0,7.74,201.50,14,2,3,8,N,0.10,9.96,None,7.25,7.25,0,MOL,0,69,15,2,3,989.5629,NEUTRAL,C53H84NO14P,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
CHEMBL3833381,MERBROMIN,MERBROMIN|MERCUROCHROME,Small molecule,4,750.66,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,749.8189,None,C20H8Br2HgNa2O6,
CHEMBL3833349,FERRIC CITRATE (59FE) [INJECTION],59FE|FERRIC (59FE) CITRATE|FERRIC (59FE) CITRATE INJECTION|FERRIC CITRATE (59FE) [INJECTION],Small molecule,0,328.46,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,324.879,None,C6H4ClFeNa2O7,
CHEMBL3833303,FERROUS GLUCONATE,E-579|FERROUS GLUCONATE|FERROUS GLUCONATE DIHYDRATE|Fergon|INS NO.579|INS-579|SIDEROMAL,Small molecule,4,464.15,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,446.0359,None,C12H24FeO15,
CHEMBL1276663,CEFOZOPRAN,CEFOZOPRAN,Small molecule,0,515.54,10.0,66.0,-2.49,184.11,13,2,2,7,N,0.15,2.74,0.07,-4.34,-4.63,3,MOL,0,35,14,3,2,515.0794,ACID,C19H17N9O5S2,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CS[C@H]12)c1nsc(N)n1
CHEMBL1620875,OXOLAMINE,AF-438 FREE BASE|AF-438 [AS CITRATE]|OXOLAMINE|SKF 9976 FREE BASE|SKF 9976 [AS CITRATE]|SKF-9976 FREE BASE,Small molecule,3,245.33,1.0,1.0,2.62,42.16,4,0,0,6,N,0.78,None,8.96,3.14,1.57,2,MOL,0,18,4,0,0,245.1528,BASE,C14H19N3O,CCN(CC)CCc1nc(-c2ccccc2)no1
CHEMBL151803,SULBENTINE,D 47|DIBENZATHIONE|DIBENZTHION|SULBENTINE,Small molecule,0,314.48,25.0,39.0,3.94,6.48,3,0,0,4,N,0.79,None,4.15,4.73,4.73,2,MOL,0,21,2,0,0,314.0911,NEUTRAL,C17H18N2S2,S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1
CHEMBL272485,DIBUTYL PHTHALATE,DIBUTYL PHTHALATE|DIBUTYLPHTHALATE,Small molecule,0,278.35,20.0,22.0,3.60,52.60,4,0,0,8,N,0.54,None,None,4.63,4.63,1,MOL,0,20,4,0,0,278.1518,None,C16H22O4,CCCCOC(=O)c1ccccc1C(=O)OCCCC
CHEMBL110,BENZNIDAZOLE,BENZNIDAZOLE|NSC-299972|RO 07-1051|RO-07-1051|RO-7-1051,Small molecule,4,260.25,87.0,1851.0,1.11,90.06,5,1,0,5,N,0.64,13.68,0.20,1.32,1.32,2,MOL,0,19,7,1,0,260.0909,NEUTRAL,C12H12N4O3,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
CHEMBL1741,CLARITHROMYCIN,A-56268|ABBOTT-56268|BIAXIN XL|Biaxin|Biaxin XL Pac|CLARIE XL|CLARITHROMYCIN|CLARITHROMYCIN IDENTITY|CLAROSIP|Clarithromycin extended release|FEBZIN XL|KLARICID|KLARICID 500|KLARICID ADULT|KLARICID I.V.|KLARICID PAED|KLARICID XL|MYCIFOR XL|Prevpac|TE-031|XETININ XL|ZECLAR,Small molecule,4,747.96,223.0,3080.0,2.44,182.91,14,4,2,8,N,0.27,12.46,8.38,3.24,2.22,0,MOL,0,52,14,4,2,747.4769,NEUTRAL,C38H69NO13,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
CHEMBL473159,PHLOROGLUCINOL,NSC-1572|PHLOROGLUCINOL|Phloroglucinol|SPASFON|SPASFON-LYOC,Small molecule,4,126.11,16.0,33.0,0.80,60.69,3,3,0,0,N,0.48,9.13,None,1.06,1.05,1,MOL,0,9,3,3,0,126.0317,NEUTRAL,C6H6O3,Oc1cc(O)cc(O)c1
CHEMBL311350,PIROMIDIC ACID,PD-93|PIROMIDIC ACID|Piromidic acid,Small molecule,0,288.31,118.0,300.0,1.11,88.32,6,1,0,3,N,0.91,5.44,4.01,1.41,-0.38,2,MOL,0,21,7,1,0,288.1222,ACID,C14H16N4O3,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21
CHEMBL485,CODEINE,CODEINE|CODEINE MONOHYDRATE|Codeine|IDS-NC-005(SECT.-2),Small molecule,4,299.37,55.0,209.0,1.50,41.93,4,1,0,1,N,0.80,13.78,9.19,1.34,-0.45,1,MOL,0,22,4,1,0,299.1521,BASE,C18H21NO3,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314
CHEMBL107,COLCHICINE,COLCHICINE|COLCRYS|Colchicine|GLOPERBA|MITIGARE|NSC-757,Small molecule,4,399.44,417.0,4411.0,2.87,83.09,6,1,0,5,N,0.83,None,None,1.46,1.46,2,MOL,0,29,7,1,0,399.1682,NEUTRAL,C22H25NO6,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
CHEMBL460287,ETOGLUCID,EPODYL|ETHOGLUCID|ETOGLUCID|ICI 32865,Small molecule,4,262.3,2.0,4.0,-0.15,61.98,6,0,0,13,N,0.34,None,None,-0.33,-0.33,0,MOL,0,18,6,0,0,262.1416,NEUTRAL,C12H22O6,C(COCCOCC1CO1)OCCOCC1CO1
CHEMBL1520,VARDENAFIL,BAY-389456|BAY38-9456|LEVITRA|VARDENAFIL|Vardenafil,Small molecule,4,488.61,32.0,114.0,2.07,112.90,8,1,0,8,N,0.52,11.75,6.21,1.43,1.40,3,MOL,0,34,10,1,0,488.2206,NEUTRAL,C23H32N6O4S,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12
CHEMBL288441,BOSUTINIB,BOSULIF|BOSUTINIB|BOSUTINIB MONOHYDRATE|SK-606|SKI-606,Small molecule,4,530.46,1074.0,1545.0,5.19,82.88,8,1,2,9,N,0.38,None,8.03,4.09,3.37,3,MOL,0,36,8,1,2,529.1647,NEUTRAL,C26H29Cl2N5O3,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL589092,FENTIAZAC,"FENTIAZAC|WY-21,894",Small molecule,0,329.81,11.0,39.0,4.76,50.19,3,1,0,4,N,0.75,4.82,1.30,5.06,2.53,3,MOL,0,22,3,1,0,329.0277,ACID,C17H12ClNO2S,O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1
CHEMBL2104790,MEPHENOXALONE,Lenetran|MEPHENOXALONE,Small molecule,0,223.23,1.0,2.0,1.18,56.79,4,1,0,4,N,0.83,12.68,None,1.19,1.19,1,MOL,0,16,5,1,0,223.0845,NEUTRAL,C11H13NO4,COc1ccccc1OCC1CNC(=O)O1
CHEMBL2107457,ITOPRIDE,ITOPRIDE,Small molecule,3,358.44,1.0,2.0,2.57,60.03,5,1,0,9,N,0.75,None,8.77,2.32,0.93,2,MOL,0,26,6,1,0,358.1893,BASE,C20H26N2O4,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC
CHEMBL480,LANSOPRAZOLE,A-65006|AG-1749|LANSOPRAZOLE|OPIREN|PREVACID 24 HR|PREVACID IV|Prevacid|Prevacid Delayed Release|Prevacid SoluTab|ZOTON,Small molecule,4,369.37,204.0,917.0,3.52,67.87,4,1,0,5,N,0.75,9.35,4.16,3.03,3.03,3,MOL,0,25,5,1,0,369.0759,NEUTRAL,C16H14F3N3O2S,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1
CHEMBL502,DONEPEZIL,Aricept|DONEPEZIL|Donepezil|E-2020,Small molecule,4,379.5,84.0,1235.0,4.36,38.77,4,0,0,6,N,0.75,None,8.54,4.21,3.04,2,MOL,0,28,4,0,0,379.2147,BASE,C24H29NO3,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
CHEMBL2079699,SODIUM STIBOGLUCONATE,ANTIMONY SODIUM GLUCONATE|PENTOSTAM|SODIUM STIBOGLUCONATE|SODIUM STIBOGLUCONATE ANHYDROUS,Small molecule,4,907.88,12.0,181.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,743.8235,None,C12H35Na3O26Sb2,
CHEMBL152408,PIMETHIXENE,BP 400|PIMETHIXENE|PIMETIXENE,Small molecule,0,293.44,13.0,18.0,4.68,3.24,2,0,0,0,N,0.59,None,7.96,4.23,3.57,2,MOL,0,21,1,0,0,293.1238,NEUTRAL,C19H19NS,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1
CHEMBL1465,PHENPROCOUMON,BS-7565|Liquamar|MARCOUMAR|PHENPROCOUMON|PHENPROCUMONE|RO-1-4849,Small molecule,4,280.32,13.0,40.0,4.04,50.44,3,1,0,3,N,0.74,5.67,None,3.74,2.03,3,MOL,0,21,3,1,0,280.1099,ACID,C18H16O3,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O
CHEMBL32800,FENOTEROL,BERODUAL|BERODUAL N|BEROTEC|BEROTEC 100|BEROTEC 200|Berotec [as hydrobromide]|DUOVENT|FENOTEROL|FENOTEROL HYDROBROMIDE|TH 1165A FREE BASE|TH 1165A [AS HYDROBROMIDE SALT]|TH-1165|TH-1165A FREE BASE,Small molecule,4,303.36,41.0,90.0,2.06,92.95,5,5,0,6,N,0.56,8.85,9.63,1.47,0.33,2,MOL,0,22,5,5,0,303.1471,BASE,C17H21NO4,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1
CHEMBL3707345,FLUOROMETHYLCHOLINE (18F),FLUOROCHOLINE(18F)|FLUOROMETHYLCHOLINE (18F),Small molecule,3,135.19,,,0.64,9.23,1,0,0,4,N,0.41,None,None,-3.84,-3.84,0,MOL,0,9,2,0,0,136.1132,NEUTRAL,C6H15FNO+,C[N+](C)(C)CCOC[18F]
CHEMBL1788389,STIBOPHEN,Fuadin|STIBOPHEN,Small molecule,0,769.13,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,767.6909,None,C12H4Na5O16S4Sb,
CHEMBL1788392,GLYCOBIARSOL,BISMUTH GLYCOLLYLARSANILATE|GLYCOBIARSOL,Small molecule,0,499.06,1.0,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,498.945,None,C8H9AsBiNO6,
CHEMBL1788399,COPPER OLEINATE,COPPER OLEINATE,Small molecule,0,626.47,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,625.4257,None,C36H66CuO4,
CHEMBL1152,PREDNISOLONE ACETATE,ECONOPRED|FLO-PRED|Meticortelone|NSC-10966|Omnipred|PRED FORTE|PRED FTE|PRED MILD|PREDNISOLONE 21-ACETATE|PREDNISOLONE ACETATE|Prednisolone Acetate|Sterane|ULTRACORTENOL,Small molecule,4,402.49,26.0,40.0,2.13,100.90,6,2,0,3,N,0.70,12.61,None,1.71,1.71,0,MOL,0,29,6,2,0,402.2042,NEUTRAL,C23H30O6,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
CHEMBL444633,RIFABUTIN,ANSAMYCIN|LM 427|LM-427|MYCOBUTIN|Mycobutin|RIFABUTIN,Small molecule,4,847.02,130.0,1039.0,4.62,205.55,14,5,2,4,N,0.26,6.88,7.87,3.88,3.94,1,MOL,0,61,15,5,2,846.4415,NEUTRAL,C46H62N4O11,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O
CHEMBL2096655,CYANOCOBALAMIN CO 57,57CO|COBALT (57CO) CYANOCOBALAMINE|CYANOCOBALAMIN (57CO)|CYANOCOBALAMIN CO 57|CYANOCOBALAMIN CO-57|Racobalamin-57|Rubratope-57,Small molecule,4,1354.4,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,1355.5752,None,C63H89CoN14O14P,
CHEMBL2108938,CADEXOMER IODINE,CADEXOMER IODINE|IODOFLEX|Iodosorb,Small molecule,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL2109005,CASTOR OIL,"CASTOR OIL|CASTOR OIL, AROMATIC|FEMA NO. 2263|OLEUM RICINI|RICINUS COMMUNIS FIBRE OIL|RICINUS COMMUNIS OIL|RICINUS COMMUNIS SEED OIL",Small molecule,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL2109152,MINERAL OIL,"ALPHA KERI|ASHBOURNE EMOLLIENT|AVEENO|Balneol|DERMALO|DOUBLEBASE|E-905D|EMMOLATE|EMULSIDERM|GPPE EMOLLIENT|INS NO.905D|INS-905D|LACRI-LUBE|LIQ PARAF LIGHT|LIQUID PARAFFIN|LUBRI-TEARS|MINERAL OIL|Neo-Cultol|Nujol|OILATUM JNR|PARAFFIN, LIQUID|PETROLAGAR|PETROLATUM, LIQUID|RAE'S|ZEROLATUM|ZEROLATUM PLUS",Small molecule,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,
CHEMBL1650818,AMDINOCILLIN PIVOXIL,AMDINOCILLIN PIVOXIL|Coactabs|PIVMECILLINAM|PIVMECILLINAM HYDROCHLORIDE|RO 10-9071|RO-10-9071|SELEXID,Small molecule,4,439.58,5.0,25.0,2.41,88.51,7,0,0,5,N,0.21,13.66,7.91,2.91,2.28,0,MOL,0,30,8,0,0,439.2141,NEUTRAL,C21H33N3O5S,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C
CHEMBL416,METHOXSALEN,8-METHOXYPSORALEN|8-MOP|DELTASORALEN|MELADININE|METHOXSALEN|Methoxsalen|NSC-45923|OXSORALEN-ULTRA|Oxsoralen|PUVASORALEN-8|SM-88 COMPONENT METHOXSALEN|UVADEX|XANTHOTOXIN,Small molecule,4,216.19,250.0,748.0,2.55,52.58,4,0,0,1,N,0.59,None,None,1.78,1.78,3,MOL,0,16,4,0,0,216.0423,NEUTRAL,C12H8O4,COc1c2occc2cc2ccc(=O)oc12
